date,series_id,value,industry,quarter,index
2024-03-20,A3538849T,18195,Other services,2024-01-01,108.6982495967501
2024-06-20,A3538807V,116275,Mining,2024-04-01,102.34394254128085
2024-06-20,A3538810J,111531,Manufacturing,2024-04-01,99.34618981873247
2024-06-20,A3538813R,28539,"Electricity, gas, water and waste services",2024-04-01,117.90052053209948
2024-06-20,A3538816W,111937,Construction,2024-04-01,97.78890170178565
2024-06-20,A3538819C,166644,Wholesale trade,2024-04-01,100.82831644229314
2024-06-20,A3538822T,140182,Retail trade,2024-04-01,108.37920583869372
2024-06-20,A3538825X,33942,Accommodation and food services,2024-04-01,108.70484242890085
2024-06-20,A3538828F,47839,"Transport, postal and warehousing",2024-04-01,117.71697138216983
2024-06-20,A3538831V,23943,Information media and telecommunications,2024-04-01,131.59832911948993
2024-06-20,A3538834A,18359,Financial and insurance services,2024-04-01,117.06306191417458
2024-06-20,A3538837J,32060,"Rental, hiring and real estate services",2024-04-01,111.51692232773314
2024-06-20,A3538840W,68678,"Professional, scientific and technical services",2024-04-01,116.04149770208164
2024-06-20,A3538846K,11136,Arts and recreation services,2024-04-01,107.69825918762089
2024-06-20,A3538849T,18016,Other services,2024-04-01,107.62889061473206
2024-09-20,A3538807V,117637,Mining,2024-07-01,103.5427595676513
2024-09-20,A3538810J,111118,Manufacturing,2024-07-01,98.97831024807375
2024-09-20,A3538813R,28241,"Electricity, gas, water and waste services",2024-07-01,116.66942080475916
2024-09-20,A3538816W,112538,Construction,2024-07-01,98.31393926686934
2024-09-20,A3538819C,168213,Wholesale trade,2024-07-01,101.7776433217365
2024-09-20,A3538822T,140225,Retail trade,2024-07-01,108.41245051954478
2024-09-20,A3538825X,33773,Accommodation and food services,2024-07-01,108.16359210863439
2024-09-20,A3538828F,47652,"Transport, postal and warehousing",2024-07-01,117.25682226432737
2024-09-20,A3538831V,24215,Information media and telecommunications,2024-07-01,133.09332747059472
2024-09-20,A3538834A,18490,Financial and insurance services,2024-07-01,117.8983612829178
2024-09-20,A3538837J,31969,"Rental, hiring and real estate services",2024-07-01,111.20038957876795
2024-09-20,A3538840W,68132,"Professional, scientific and technical services",2024-07-01,115.11895106785617
2024-09-20,A3538846K,11434,Arts and recreation services,2024-07-01,110.58027079303675
2024-09-20,A3538849T,17991,Other services,2024-07-01,107.47953880160105
2024-12-20,A3538807V,115887,Mining,2024-10-01,102.00242932084639
2024-12-20,A3538810J,108174,Manufacturing,2024-10-01,96.35594352647753
2024-12-20,A3538813R,28798,"Electricity, gas, water and waste services",2024-10-01,118.9705031810295
2024-12-20,A3538816W,113128,Construction,2024-10-01,98.8293671593808
2024-12-20,A3538819C,170082,Wholesale trade,2024-10-01,102.90848585690516
2024-12-20,A3538822T,141772,Retail trade,2024-10-01,109.60848589807026
2024-12-20,A3538825X,33904,Accommodation and food services,2024-10-01,108.58314117345631
2024-12-20,A3538828F,47863,"Transport, postal and warehousing",2024-10-01,117.77602795344373
2024-12-20,A3538831V,24179,Information media and telecommunications,2024-10-01,132.89546004177203
2024-12-20,A3538834A,19549,Financial and insurance services,2024-10-01,124.65089587451381
2024-12-20,A3538837J,32535,"Rental, hiring and real estate services",2024-10-01,113.16915370969426
2024-12-20,A3538840W,67636,"Professional, scientific and technical services",2024-10-01,114.2808867261422
2024-12-20,A3538846K,11432,Arts and recreation services,2024-10-01,110.56092843326886
2024-12-20,A3538849T,17889,Other services,2024-10-01,106.87018340402652
2025-03-20,A3538807V,114086,Mining,2025-01-01,100.41720944970602
2025-03-20,A3538810J,109007,Manufacturing,2025-01-01,97.09793791475526
2025-03-20,A3538813R,28160,"Electricity, gas, water and waste services",2025-01-01,116.33479302652235
2025-03-20,A3538816W,112049,Construction,2025-01-01,97.88674564070308
2025-03-20,A3538819C,170297,Wholesale trade,2025-01-01,103.03857207684163
2025-03-20,A3538822T,141665,Retail trade,2025-01-01,109.52576076199901
2025-03-20,A3538825X,33984,Accommodation and food services,2025-01-01,108.83935434281322
2025-03-20,A3538828F,48333,"Transport, postal and warehousing",2025-01-01,118.93255247422427
2025-03-20,A3538831V,24673,Information media and telecommunications,2025-01-01,135.6106408706167
2025-03-20,A3538834A,21142,Financial and insurance services,2025-01-01,134.80839125167378
2025-03-20,A3538837J,32340,"Rental, hiring and real estate services",2025-01-01,112.49086924762601
2025-03-20,A3538840W,67287,"Professional, scientific and technical services",2025-01-01,113.69120032441201
2025-03-20,A3538846K,11560,Arts and recreation services,2025-01-01,111.79883945841392
2025-03-20,A3538849T,18463,Other services,2025-01-01,110.29930103351455
